nome,cpf,idade,data,endereco,bairro,estado
Anthony Da Costa,935.***.***-9,36.0,1988-02-13,Endereço inválido,conjunto califórnia i,SE
Cauã Rodrigues,107.***.***-8,98.0,1926-02-11,Endereço inválido,vila madre gertrudes 4ª seção,AL
Anthony Barbosa,631.***.***-0,87.0,1937-08-19,Endereço inválido,vila satélite,RN
Ana Julia Almeida,179.***.***-0,23.0,2001-07-20,Endereço inválido,senhor dos passos,MA
Milena Barros,314.***.***-5,75.0,1950-08-04,Endereço inválido,ermelinda,PA
Murilo Gomes,759.***.***-9,100.0,1924-05-22,Endereço inválido,vila pilar,SP
Daniel Barbosa,812.***.***-9,29.0,1995-10-05,Endereço inválido,vila sumaré,CE
Dr. Samuel Cardoso,039.***.***-9,47.0,1977-03-20,Endereço inválido,conjunto califórnia ii,BA
Ana Laura Sales,863.***.***-2,79.0,1945-11-24,Endereço inválido,são jorge 1ª seção,PR
Mariana Cunha,492.***.***-2,82.0,1942-07-24,Endereço inválido,novo ouro preto,AM
Sr. João Guilherme Cavalcanti,347.***.***-7,39.0,1985-09-30,Endereço inválido,cruzeiro,MS
Kamilly Rocha,365.***.***-1,64.0,1960-10-29,Endereço inválido,alta tensão 2ª seção,MS
Gabriel Nunes,940.***.***-0,56.0,1968-11-21,Endereço inválido,vista do sol,PA
Rafael Correia,579.***.***-0,73.0,1952-01-03,"morro de cardoso, 47
marçola
82157940 melo / se",marçola,SE
Ana Lívia Barbosa,925.***.***-6,63.0,1961-05-30,Endereço inválido,monsenhor messias,CE
Maitê Teixeira,694.***.***-3,91.0,1933-05-11,Endereço inválido,camponesa 1ª seção,PE
Carlos Eduardo Santos,937.***.***-3,69.0,1955-03-29,Endereço inválido,delta,PR
Enzo Gabriel Araújo,349.***.***-9,71.0,1953-09-15,Endereço inválido,Desconhecido,Desconhecido
Breno Moreira,184.***.***-4,40.0,1984-03-23,Endereço inválido,vila sumaré,AL
Julia Lopes,106.***.***-3,47.0,1977-02-13,Endereço inválido,vila minaslandia,PR
André Lima,645.***.***-7,80.0,1944-11-06,Endereço inválido,belmonte,RO
João Gabriel Barbosa,190.***.***-6,55.0,1969-02-23,Endereço inválido,boa esperança,DF
,438.***.***-5,22.0,2002-04-13,Endereço inválido,aarão reis,GO
João Felipe Oliveira,830.***.***-0,43.0,1981-10-18,Endereço inválido,madre gertrudes,RN
Samuel Vieira,218.***.***-5,41.0,1984-07-02,Endereço inválido,chácara leonina,MT
Lucca Ferreira,237.***.***-1,86.0,1938-03-30,Endereço inválido,andiroba,MG
Samuel Castro,582.***.***-7,71.0,1954-02-04,Endereço inválido,cachoeirinha,AL
Maria Vitória Teixeira,426.***.***-2,62.0,1962-12-16,Endereço inválido,vila nova,PA
Maria Fernanda Farias,907.***.***-2,23.0,2001-07-18,Endereço inválido,chácara leonina,AM
Fernanda Sales,879.***.***-3,71.0,1953-02-05,Endereço inválido,vila mantiqueira,PE
Srta. Eduarda Nogueira,602.***.***-0,67.0,1958-01-13,Endereço inválido,vila da amizade,PB
Maitê Ferreira,016.***.***-9,66.0,1958-04-24,Endereço inválido,calafate,PR
Catarina Pires,079.***.***-1,48.0,1977-01-28,Endereço inválido,vila primeiro de maio,MT
Manuela Da Rocha,839.***.***-5,75.0,1949-05-21,Endereço inválido,saudade,SP
Nina Moura,604.***.***-2,47.0,1977-07-23,Endereço inválido,marieta 1ª seção,PA
Pedro Henrique Vieira,526.***.***-0,43.0,1981-08-14,Endereço inválido,vila boa vista,RR
Ana Clara Cunha,862.***.***-0,37.0,1987-04-09,Endereço inválido,vila da paz,AC
Pietra Santos,508.***.***-6,95.0,1929-06-14,Endereço inválido,vila puc,GO
Sr. Theo Da Conceição,284.***.***-1,27.0,1998-10-04,Endereço inválido,centro,RR
Vinicius Da Costa,023.***.***-1,67.0,1958-06-03,Endereço inválido,satelite,PA
Pedro Henrique Cunha,519.***.***-9,60.0,1965-06-03,Endereço inválido,vila atila de paiva,ES
Davi Nogueira,564.***.***-1,75.0,1949-12-14,Endereço inválido,bandeirantes,CE
Luiz Fernando Da Paz,409.***.***-1,81.0,1943-04-30,Endereço inválido,conjunto jardim filadélfia,TO
Srta. Letícia Rocha,137.***.***-3,78.0,1947-12-01,Endereço inválido,nova pampulha,SC
João Nogueira,367.***.***-1,91.0,1933-02-22,Endereço inválido,heliopolis,CE
João Gabriel Cardoso,962.***.***-3,54.0,1970-07-13,Endereço inválido,vila independencia 2ª seção,AC
Ryan Ribeiro,409.***.***-4,96.0,1928-12-18,Endereço inválido,vila são paulo,PB
Olivia Das Neves,314.***.***-5,24.0,2001-01-27,Endereço inválido,paquetá,AL
Sr. Luiz Miguel Pinto,942.***.***-7,56.0,1968-04-17,Endereço inválido,chácara leonina,SC
Elisa Teixeira,217.***.***-7,80.0,1944-05-07,Endereço inválido,vila são francisco,ES
Pedro Miguel Das Neves,523.***.***-0,60.0,1964-12-15,Endereço inválido,engenho nogueira,RS
Maria Luiza Azevedo,064.***.***-4,77.0,1947-04-29,Endereço inválido,vila jardim montanhes,PE
Lorenzo Silva,642.***.***-1,48.0,1976-05-09,Endereço inválido,mariano de abreu,RJ
Bianca Souza,673.***.***-4,98.0,1926-05-25,Endereço inválido,vila betânia,SC
Vitor Azevedo,643.***.***-2,72.0,1953-11-01,Endereço inválido,vila nova gameleira 1ª seção,AL
Enzo Gabriel Lima,187.***.***-9,58.0,1967-01-28,Endereço inválido,santo antônio,SP
Eduarda Cunha,093.***.***-3,60.0,1964-09-17,Endereço inválido,santana do cafezal,PI
Sra. Nicole Da Rocha,367.***.***-0,80.0,1944-10-10,Endereço inválido,vila antena,RR
Ana Clara Santos,430.***.***-0,36.0,1988-04-15,Endereço inválido,vila são francisco,DF
Enzo Gabriel Castro,694.***.***-6,97.0,1927-07-11,Endereço inválido,são geraldo,PB
Nicole Ferreira,701.***.***-2,28.0,1996-02-11,Endereço inválido,funcionários,ES
Erick Sales,498.***.***-4,38.0,1986-09-13,Endereço inválido,vila santa monica 1ª seção,PR
Anthony Barros,742.***.***-0,43.0,1981-10-24,Endereço inválido,jardim alvorada,PA
Renan Da Rocha,986.***.***-1,53.0,1971-03-08,Endereço inválido,grajaú,RO
Marcela Santos,843.***.***-4,25.0,1999-12-23,Endereço inválido,planalto,RN
Carolina Melo,970.***.***-0,40.0,1984-06-06,Endereço inválido,são geraldo,SC
Lavínia Rezende,946.***.***-7,45.0,1979-08-19,Endereço inválido,vila são paulo,CE
Srta. Julia Porto,502.***.***-6,76.0,1948-07-21,Endereço inválido,jardim do vale,MA
Alana Cardoso,572.***.***-4,33.0,1991-04-14,Endereço inválido,cônego pinheiro 1ª seção,PR
Davi Lucas Cardoso,805.***.***-8,29.0,1995-11-15,"viela da paz, 92
serra
95443238 correia / mt",serra,MT
Raul Santos,315.***.***-0,20.0,2004-09-11,Endereço inválido,leticia,SP
Igor Melo,261.***.***-1,47.0,1978-02-03,Endereço inválido,vila copacabana,PR
Joaquim Da Costa,274.***.***-5,77.0,1947-08-10,Endereço inválido,dom bosco,SP
João Felipe Farias,936.***.***-0,29.0,1996-01-11,Endereço inválido,bairro das indústrias ii,PE
Manuela Almeida,647.***.***-3,76.0,1949-01-27,Endereço inválido,são joão batista,PE
Ryan Rocha,248.***.***-5,65.0,1959-10-25,Endereço inválido,castelo,PI
Luna Da Conceição,935.***.***-9,96.0,1928-02-19,"campo campos, 82
são pedro
10003961 da mata / ma",são pedro,MA
Manuela Silva,591.***.***-7,20.0,2005-09-01,Endereço inválido,acaba mundo,AL
Maria Vitória Das Neves,761.***.***-3,97.0,1928-01-05,Endereço inválido,savassi,PE
Marcela Cunha,904.***.***-3,46.0,1978-06-17,Endereço inválido,universo,SE
Bryan Souza,593.***.***-0,66.0,1958-03-05,Endereço inválido,mala e cuia,BA
Kevin Cavalcanti,658.***.***-0,49.0,1976-01-29,Endereço inválido,vila paris,PR
Sr. João Gabriel Martins,794.***.***-8,75.0,1949-06-14,Endereço inválido,boa viagem,MA
Gabriela Da Mata,746.***.***-9,68.0,1956-06-16,Endereço inválido,inconfidência,CE
Srta. Júlia Fernandes,650.***.***-9,49.0,1975-11-19,Endereço inválido,jatobá,TO
Bárbara Silveira,386.***.***-0,41.0,1983-12-25,Endereço inválido,vila paraíso,RN
Vinicius Jesus,549.***.***-9,90.0,1934-12-08,"morro de duarte
pindorama
91232749 cunha / rs",pindorama,RS
Srta. Alice Pires,536.***.***-5,42.0,1982-07-08,Endereço inválido,santa sofia,RO
Lara Ferreira,698.***.***-7,73.0,1951-10-23,Endereço inválido,lajedo,RS
Felipe Freitas,863.***.***-0,99.0,1925-04-27,Endereço inválido,vila real 1ª seção,AC
Maysa Pires,852.***.***-1,69.0,1955-10-08,Endereço inválido,carlos prates,PR
Letícia Da Mata,308.***.***-3,49.0,1976-08-04,Endereço inválido,vila são dimas,PR
Luigi Cunha,623.***.***-3,93.0,1932-01-24,Endereço inválido,senhor dos passos,PA
Lucas Gabriel Gomes,120.***.***-4,20.0,2004-02-23,Endereço inválido,flamengo,PI
Emanuelly Costela,152.***.***-9,47.0,1977-10-21,"vale de vieira, 67
suzana
02233962 alves / pa",suzana,PA
Calebe Nascimento,631.***.***-8,85.0,1939-02-25,Endereço inválido,lagoinha,RJ
Juan Pires,139.***.***-4,76.0,1948-03-12,Endereço inválido,são pedro,MS
Lívia Costa,582.***.***-5,82.0,1942-10-18,Endereço inválido,vila da ária,AM
Davi Lucas Nunes,679.***.***-0,22.0,2003-01-07,"vila viana, 68
nova cintra
01930898 porto / am",nova cintra,AM
Dr. Lucca Oliveira,806.***.***-7,90.0,1934-06-24,Endereço inválido,vila jardim montanhes,PB
Eduardo Monteiro,037.***.***-6,62.0,1962-11-09,Endereço inválido,vila nova paraíso,PE
Diogo Moraes,571.***.***-5,48.0,1977-01-12,Endereço inválido,aguas claras,RJ
Felipe Freitas,657.***.***-5,19.0,2005-12-08,Endereço inválido,ermelinda,RR
Ryan Peixoto,830.***.***-9,28.0,1996-08-25,Endereço inválido,xodo-marize,TO
Otávio Pires,526.***.***-0,26.0,1998-07-16,Endereço inválido,vila oeste,MS
Thiago Moreira,023.***.***-0,62.0,1963-01-11,Endereço inválido,santa inês,SC
Pietro Lopes,428.***.***-1,62.0,1962-04-24,Endereço inválido,salgado filho,SP
Gabriela Gomes,317.***.***-5,43.0,1981-04-13,Endereço inválido,flamengo,RO
João Miguel Viana,183.***.***-7,24.0,2000-05-27,Endereço inválido,funcionários,DF
Sr. Luiz Henrique Nunes,031.***.***-7,76.0,1948-03-17,Endereço inválido,sport club,TO
Srta. Ana Sophia Viana,937.***.***-6,29.0,1995-02-18,Endereço inválido,santo antônio,AP
Sr. Marcelo Aragão,418.***.***-4,86.0,1938-04-06,Endereço inválido,maria virgínia,TO
Enzo Gabriel Da Mota,018.***.***-2,31.0,1993-09-22,Endereço inválido,braúnas,SE
Benjamin Da Rosa,195.***.***-8,100.0,1924-07-29,Endereço inválido,xangri-lá,RJ
Ana Rezende,316.***.***-6,69.0,1955-10-15,Endereço inválido,eymard,PE
Dr. Thomas Dias,267.***.***-0,46.0,1979-01-13,Endereço inválido,vila petropolis,AP
Breno Ribeiro,803.***.***-7,39.0,1985-10-05,Endereço inválido,vila de sá,MG
Lucas Gabriel Novaes,856.***.***-1,43.0,1982-09-04,Endereço inválido,ipe,SC
Vicente Rodrigues,328.***.***-7,86.0,1938-12-18,Endereço inválido,vila aeroporto,RN
João Lucas Vieira,985.***.***-0,39.0,1985-10-18,Endereço inválido,conjunto santa maria,RN
Dr. Luiz Henrique Freitas,951.***.***-8,48.0,1976-11-07,Endereço inválido,manacas,SC
Dra. Luiza Da Conceição,189.***.***-3,97.0,1927-04-29,Endereço inválido,lagoa,PR
Benjamin Cavalcanti,317.***.***-4,27.0,1997-11-30,Endereço inválido,vila são dimas,MT
Murilo Mendes,653.***.***-1,78.0,1946-04-20,Endereço inválido,vila santo antônio,SE
Dr. Renan Rezende,609.***.***-3,66.0,1958-12-16,Endereço inválido,vila vista alegre,PR
Maysa Porto,081.***.***-8,69.0,1955-09-11,Endereço inválido,havaí,RO
Pedro Lucas Pereira,873.***.***-3,85.0,1940-01-09,Endereço inválido,paquetá,CE
Isadora Nogueira,480.***.***-0,51.0,1974-01-09,Endereço inválido,vila são dimas,RJ
Gabriel Ramos,591.***.***-0,77.0,1947-08-23,Endereço inválido,novo glória,TO
Yago Ferreira,531.***.***-0,88.0,1936-05-30,Endereço inválido,vila copacabana,RS
Samuel Da Mata,521.***.***-1,22.0,2002-11-30,Endereço inválido,grota,MG
Sophie Pinto,317.***.***-5,95.0,1929-07-19,Endereço inválido,suzana,SE
Dr. Rafael Souza,436.***.***-0,46.0,1979-02-03,Endereço inválido,santo agostinho,AM
Vitor Hugo Lima,450.***.***-8,86.0,1938-07-30,Endereço inválido,serra,PR
Dr. Bernardo Da Cruz,230.***.***-5,22.0,2003-03-03,Endereço inválido,vila suzana segunda seção,AM
Caio Da Cunha,926.***.***-0,94.0,1930-09-14,Endereço inválido,marieta 1ª seção,RO
Stephany Duarte,642.***.***-4,97.0,1927-03-22,Endereço inválido,são jorge 1ª seção,SE
Kevin Da Conceição,074.***.***-9,64.0,1960-04-18,Endereço inválido,novo das industrias,PE
Srta. Giovanna Aragão,142.***.***-1,77.0,1947-07-08,Endereço inválido,coração eucarístico,AL
Pedro Henrique Pinto,653.***.***-3,26.0,1998-09-20,Endereço inválido,centro,CE
Joaquim Da Cruz,532.***.***-4,31.0,1993-12-14,Endereço inválido,são salvador,AM
Leandro Souza,560.***.***-8,30.0,1994-10-09,Endereço inválido,trevo,PI
Beatriz Aragão,805.***.***-0,53.0,1971-07-29,Endereço inválido,funcionários,AL
Carlos Eduardo Teixeira,546.***.***-9,49.0,1975-07-26,Endereço inválido,vila batik,ES
Joana Da Rocha,915.***.***-3,46.0,1978-03-05,Endereço inválido,marçola,MG
Lucas Gabriel Da Luz,203.***.***-7,19.0,2005-12-13,"via de santos
delta
16982254 da rosa / df",delta,DF
Davi Lucas Da Costa,502.***.***-5,19.0,2005-11-29,Endereço inválido,cidade jardim taquaril,AL
Henrique Da Rocha,713.***.***-4,34.0,1990-09-08,Endereço inválido,inconfidência,AM
Lorena Fernandes,574.***.***-9,93.0,1931-05-23,Endereço inválido,vila paraíso,PR
Nathan Nogueira,837.***.***-5,44.0,1980-03-22,Endereço inválido,monsenhor messias,DF
Srta. Maysa Rezende,726.***.***-5,82.0,1942-09-08,Endereço inválido,zilah sposito,PI
Erick Santos,680.***.***-6,44.0,1980-06-22,Endereço inválido,pedreira padro lopes,TO
Agatha Sales,983.***.***-3,93.0,1932-09-01,Endereço inválido,itatiaia,SP
Ana Beatriz Moreira,637.***.***-6,64.0,1960-11-19,Endereço inválido,outro,AM
Antônio Da Rocha,943.***.***-2,26.0,1998-02-28,Endereço inválido,jardim leblon,AM
Dra. Vitória Viana,813.***.***-2,83.0,1941-03-23,Endereço inválido,vila madre gertrudes 2ª seção,RO
Enzo Monteiro,534.***.***-0,44.0,1980-06-25,Endereço inválido,chácara leonina,PR
Bernardo Santos,045.***.***-2,19.0,2005-09-09,Endereço inválido,zilah sposito,PR
Guilherme Cunha,237.***.***-0,25.0,1999-03-31,Endereço inválido,vila da paz,PI
Raul Rodrigues,193.***.***-3,48.0,1976-06-16,"praça souza
santa inês
51653-076 sales / sc",santa inês,SC
Pietra Lima,591.***.***-3,31.0,1993-03-28,Endereço inválido,são bento,MT
Camila Barbosa,560.***.***-5,38.0,1986-07-11,Endereço inválido,casa branca,PA
Kaique Almeida,078.***.***-0,69.0,1955-09-27,Endereço inválido,olhos d'água,MS
Antônio Porto,015.***.***-6,88.0,1936-06-19,Endereço inválido,barreiro,RR
Alana Rezende,216.***.***-6,71.0,1953-05-23,Endereço inválido,cachoeirinha,ES
Vitor Almeida,134.***.***-0,43.0,1981-08-06,Endereço inválido,vila santo antônio,RR
Isabelly Da Mota,709.***.***-4,76.0,1948-05-19,Endereço inválido,engenho nogueira,PA
Isis Oliveira,893.***.***-8,78.0,1946-09-28,Endereço inválido,barão homem de melo 2ª seção,AL
Carolina Gomes,845.***.***-2,32.0,1992-05-29,Endereço inválido,vila minaslandia,AL
Srta. Natália Rodrigues,548.***.***-8,77.0,1948-03-04,Endereço inválido,vera cruz,MS
Fernando Ramos,032.***.***-3,52.0,1973-01-05,Endereço inválido,vila barragem santa lúcia,PR
Gabriela Da Cruz,109.***.***-7,27.0,1997-06-11,Endereço inválido,vila mangueiras,CE
Noah Cavalcanti,273.***.***-6,83.0,1941-02-17,Endereço inválido,vera cruz,MT
Clara Moreira,079.***.***-0,50.0,1974-03-30,Endereço inválido,vila da paz,PB
Laura Araújo,134.***.***-2,54.0,1970-03-16,Endereço inválido,lagoinha,PI
Dr. Luiz Otávio Sales,472.***.***-6,78.0,1946-07-10,Endereço inválido,vila são paulo,MT
Emilly Da Mata,839.***.***-8,89.0,1935-10-11,Endereço inválido,vila trinta e um de março,ES
Kevin Rodrigues,086.***.***-5,54.0,1970-09-05,Endereço inválido,conjunto califórnia ii,PE
Davi Pereira,209.***.***-8,61.0,1963-09-23,Endereço inválido,apolonia,MG
Thomas Silva,891.***.***-8,20.0,2004-03-06,Endereço inválido,fernão dias,RN
Ana Lívia Da Cruz,135.***.***-8,86.0,1938-09-06,"praça correia, 3
canadá
10967-617 da rocha / rj",canadá,RJ
Sr. Vicente Silveira,318.***.***-5,60.0,1964-11-06,Endereço inválido,vila copacabana,PA
Sophie Caldeira,403.***.***-1,37.0,1988-01-28,Endereço inválido,vila santo antônio,PA
Gabriel Costa,930.***.***-3,60.0,1964-04-07,"núcleo carvalho, 87
piraja
27363-406 aragão / pi",piraja,PI
Ana Carolina Costa,680.***.***-8,51.0,1973-12-15,Endereço inválido,saudade,RO
Maitê Fogaça,543.***.***-5,27.0,1997-10-29,Endereço inválido,ermelinda,RN
Bruna Caldeira,259.***.***-0,68.0,1956-05-14,Endereço inválido,senhor dos passos,AC
Caroline Moura,593.***.***-2,31.0,1993-04-27,"chácara da luz, 27
bonfim
19292291 freitas / sp",bonfim,SP
Sra. Ana Júlia Pires,561.***.***-0,47.0,1977-06-19,"núcleo cardoso
barreiro
53334004 da mata / to",barreiro,TO
Dra. Larissa Fernandes,503.***.***-5,43.0,1981-02-21,Endereço inválido,vila santa rosa,GO
Rodrigo Da Luz,416.***.***-6,33.0,1992-02-03,Endereço inválido,são gabriel,PB
Carlos Eduardo Barros,730.***.***-7,32.0,1992-05-25,Endereço inválido,santa cecilia,GO
Ana Laura Silva,047.***.***-6,52.0,1972-06-20,"vale pinto, 70
esplanada
62764-552 azevedo / pi",esplanada,PI
Maitê Nogueira,517.***.***-0,67.0,1958-10-01,Endereço inválido,parque são josé,SP
Ana Laura Da Luz,681.***.***-9,81.0,1943-09-26,Endereço inválido,caiçara - adelaide,TO
Sra. Brenda Viana,154.***.***-0,76.0,1948-10-12,Endereço inválido,vila rica,ES
Augusto Teixeira,360.***.***-4,94.0,1930-05-17,Endereço inválido,bairro das indústrias ii,AM
Dr. Francisco Lima,318.***.***-7,66.0,1959-02-01,Endereço inválido,distrito industrial do jatoba,AP
Isaac Da Luz,293.***.***-8,75.0,1949-09-12,Endereço inválido,são benedito,RO
Calebe Jesus,068.***.***-0,46.0,1978-02-15,Endereço inválido,concórdia,SC
Kevin Melo,786.***.***-2,58.0,1966-11-05,Endereço inválido,trevo,BA
Pedro Miguel Peixoto,079.***.***-6,49.0,1975-03-26,Endereço inválido,vila rica,DF
Gabrielly Almeida,498.***.***-0,30.0,1994-06-21,Endereço inválido,são bernardo,PB
Murilo Correia,197.***.***-9,34.0,1990-11-29,Endereço inválido,zilah sposito,SP
Matheus Dias,156.***.***-5,83.0,1942-12-02,Endereço inválido,Desconhecido,Desconhecido
Stella Cardoso,798.***.***-3,56.0,1968-08-14,Endereço inválido,novo tupi,GO
Marcela Barbosa,509.***.***-6,62.0,1963-03-04,Endereço inválido,vila antena montanhês,MS
Ana Carolina Pires,612.***.***-0,88.0,1936-04-16,Endereço inválido,pousada santo antonio,RS
Helena Aragão,791.***.***-2,84.0,1940-02-19,Endereço inválido,esperança,AP
João Gabriel Oliveira,496.***.***-0,97.0,1927-11-21,Endereço inválido,minas brasil,MA
Maria Cecília Vieira,491.***.***-6,88.0,1936-05-14,Endereço inválido,petropolis,TO
Lorena Rodrigues,461.***.***-9,46.0,1978-12-27,Endereço inválido,vila nova gameleira 3ª seção,PE
Nicolas Cunha,873.***.***-5,71.0,1954-09-01,Endereço inválido,conjunto jardim filadélfia,GO
Vitor Hugo Ramos,485.***.***-0,30.0,1994-08-07,"travessa melo, 5
biquinhas
66489954 farias / es",biquinhas,ES
Luigi Aragão,704.***.***-7,40.0,1984-02-28,Endereço inválido,campo alegre,DF
Maria Julia Barros,123.***.***-7,50.0,1974-06-14,Endereço inválido,solimoes,PE
Luiz Gustavo Silveira,178.***.***-0,93.0,1931-02-16,Endereço inválido,colégio batista,PR
Ana Júlia Fernandes,795.***.***-7,97.0,1927-05-16,Endereço inválido,coração de jesus,SE
Luiz Miguel Novaes,754.***.***-2,27.0,1998-01-24,Endereço inválido,coqueiros,MG
Gabriel Santos,142.***.***-3,21.0,2003-03-24,Endereço inválido,vila fumec,PE
